classroom_name,beginning_x,beginning_y,end_x,end_y,
κ23,349,548,444,624,
κ22,395,648,443,693,
κ21,446,647,493,693,
κ17,343,715,388,755,
κ18,330,715,494,755
κ16,344,774,387,812,
κ15,344,833,384,873,
κ14,387,833,427,873,
κ13,430,833,470,873,
κ12,340,948,386,1005
κ11,349,1028,433,1080

ε24,
ε23,
ε22,
ε21,
ε18,,718,,756
ε17,,718,,756
ε16,
ε15,,832,,874
ε14,,832,,874,
ε13,,832,,874
ε12,
ε11,

ι23,957,548,1063,625
ι22,957,648,1001,694
ι21,1002,647,1053,694
ι18,999,714,1103,755
ι17,951,714,997,756
ι16,951,774,996,813
ι15,951,833,993,874
ι14,995,833,1036,874
ι13,1038,833,1080,874
ι12,948,948,996,1006
ι11,958,1027,1042,1080
